age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
49,Private,390746,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1672,45,Ireland,<=50K
32,Self-emp-not-inc,173314,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,60,United-States,<=50K
51,Self-emp-not-inc,149220,Some-college,10,Married-spouse-absent,Farming-fishing,Husband,White,Male,0,0,75,United-States,<=50K
54,Self-emp-inc,149650,9th,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,Japan,<=50K
26,Local-gov,102420,Bachelors,13,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,South,<=50K
66,Private,86321,HS-grad,9,Widowed,Transport-moving,Unmarried,White,Male,0,0,22,Iran,<=50K
35,Federal-gov,20469,Some-college,10,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
60,Private,127712,Assoc-voc,11,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,45,Poland,<=50K
33,Without-pay,33727,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K
49,Self-emp-inc,65535,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K
47,Self-emp-not-inc,258498,Assoc-voc,10,Married-AF-spouse,Other-service,Wife,White,Female,0,0,52,United-States,<=50K
56,Private,76281,Prof-school,13,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
33,State-gov,160261,Bachelors,13,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
31,Without-pay,31286,Bachelors,11,Married-AF-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
51,Federal-gov,291755,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,42,United-States,<=50K
45,Local-gov,102359,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K
59,Self-emp-not-inc,193375,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,10,United-States,<=50K
29,Private,200515,Prof-school,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,Germany,<=50K
25,Federal-gov,160261,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,40,China,<=50K
48,Private,377140,5th-6th,3,Widowed,Priv-house-serv,Unmarried,White,Female,0,0,35,Nicaragua,<=50K
46,Private,188161,Preschool,9,Separated,Machine-op-inspct,Own-child,Black,Female,0,0,40,El-Salvador,<=50K
47,Private,363418,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,70,United-States,>50K
40,Self-emp-not-inc,442045,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,40,Columbia,>50K
33,State-gov,232475,Assoc-acdm,9,Divorced,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
54,Local-gov,278230,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Female,10520,0,30,Greece,>50K
49,Self-emp-not-inc,181547,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,30,Columbia,<=50K
67,Self-emp-inc,51415,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
79,Local-gov,146244,Assoc-voc,16,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
26,Self-emp-not-inc,200681,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Outlying-US(Guam-USVI-etc),<=50K
31,Federal-gov,34862,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
29,Federal-gov,95423,Assoc-acdm,9,Married-AF-spouse,Transport-moving,Husband,Other,Male,0,0,80,United-States,<=50K
51,Self-emp-inc,210940,HS-grad,9,Divorced,Sales,Husband,White,Male,0,2002,45,United-States,<=50K
49,Local-gov,104455,Masters,13,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
54,Private,230767,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Cuba,<=50K
39,Private,129150,7th-8th,13,Never-married,Tech-support,Husband,White,Female,0,0,50,United-States,>50K
54,Local-gov,190333,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,146538,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Cuba,<=50K
51,Federal-gov,163671,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States,<=50K
57,Private,73051,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,40,Scotland,<=50K
53,Local-gov,152373,Some-college,10,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,48,United-States,>50K
23,Self-emp-inc,306868,Bachelors,13,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,196025,11th,16,Separated,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,60,China,<=50K
56,Local-gov,137078,Masters,14,Married-spouse-absent,Armed-Forces,Husband,White,Male,0,0,40,United-States,<=50K
69,Self-emp-inc,69209,11th,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3818,0,30,United-States,<=50K
39,Private,342768,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
39,State-gov,33975,Bachelors,13,Married-AF-spouse,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
33,Local-gov,289716,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,England,<=50K
37,Local-gov,138940,9th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Greece,<=50K
40,State-gov,63503,5th-6th,13,Widowed,Tech-support,Unmarried,White,Male,0,0,40,United-States,>50K
36,Without-pay,328466,Preschool,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,Cambodia,>50K
55,Local-gov,223594,Some-college,10,Married-civ-spouse,Craft-repair,Other-relative,Black,Male,7688,0,40,Puerto-Rico,>50K
51,Without-pay,302579,12th,9,Married-AF-spouse,Other-service,Other-relative,Black,Female,0,0,30,United-States,<=50K
43,Local-gov,174395,Masters,14,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,50,United-States,<=50K
17,Local-gov,246308,11th,7,Married-spouse-absent,Prof-specialty,Own-child,White,Female,0,0,20,Puerto-Rico,<=50K
