longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-118.63,34.11,51.0,3795.0,1488.0,1521.0,653.0,5.8735,<1H OCEAN,448100.0
-115.98,33.32,10.0,240.0,46.0,63.0,24.0,1.4688,NEAR OCEAN,53800.0
-120.78,38.74,23.0,4236.0,877.0,2008.0,881.0,2.1603,NEAR OCEAN,111300.0
-122.37,37.58,4.0,2315.0,859.0,967.0,428.0,4.7404,NEAR OCEAN,500001.0
-121.92,37.45,10.0,3481.0,223.0,2032.0,1002.0,10.4277,<1H OCEAN,252200.0
-121.47,37.58,14.0,1062.0,165.0,887.0,287.0,4.6625,INLAND,294000.0
-118.41,34.09,37.0,439.0,761.0,809.0,291.0,4.1321,<1H OCEAN,500001.0
-118.19,34.14,15.0,2764.0,126.0,1181.0,456.0,5.2043,<1H OCEAN,257900.0
-118.15,33.77,31.0,575.0,2812.0,1312.0,612.0,2.7212,NEAR OCEAN,266300.0
-121.79,38.67,30.0,2602.0,401.0,981.0,405.0,4.7222,<1H OCEAN,167200.0
-116.93,32.83,21.0,1283.0,278.0,684.0,289.0,2.3203,INLAND,163500.0
-122.07,37.69,5.0,3105.0,1309.0,2999.0,1295.0,6.1009,INLAND,190500.0
-122.26,37.85,10.0,2798.0,2244.0,697.0,264.0,2.2227,INLAND,140000.0
-117.83,33.68,10.0,3226.0,838.0,1666.0,800.0,4.1652,<1H OCEAN,184500.0
-118.02,34.12,38.0,3609.0,1158.0,870.0,281.0,6.5784,INLAND,408500.0
-118.3,34.17,30.0,48.0,14.0,74.0,16.0,5.0056,<1H OCEAN,162500.0
-119.38,35.49,13.0,2459.0,836.0,1506.0,403.0,2.2071,INLAND,64600.0
-118.13,33.92,23.0,3069.0,864.0,1932.0,835.0,2.4925,<1H OCEAN,177200.0
-118.64,34.22,13.0,946.0,574.0,1902.0,574.0,2.1734,<1H OCEAN,390000.0
-122.18,37.77,13.0,1748.0,362.0,1029.0,366.0,4.9517,NEAR OCEAN,100000.0
-122.44,37.79,10.0,2465.0,533.0,1371.0,799.0,4.1875,NEAR BAY,500001.0
-121.56,39.52,13.0,5218.0,197.0,358.0,197.0,2.0034,INLAND,79500.0
-122.16,39.78,32.0,1288.0,88.0,562.0,203.0,13.2935,INLAND,69600.0
-117.95,33.93,25.0,3445.0,801.0,2400.0,750.0,3.4702,<1H OCEAN,161900.0
-119.72,36.8,29.0,2396.0,592.0,1338.0,518.0,7.5118,INLAND,78800.0
-122.02,37.63,35.0,2445.0,163.0,1189.0,573.0,2.1714,<1H OCEAN,301100.0
-118.28,34.04,23.0,110.0,1440.0,2390.0,719.0,1.4167,<1H OCEAN,200000.0
-118.39,34.22,19.0,1790.0,1201.0,1277.0,345.0,3.2206,<1H OCEAN,186800.0
-118.44,34.18,17.0,1546.0,592.0,2423.0,556.0,2.1977,<1H OCEAN,154200.0
-121.9,37.46,23.0,3372.0,537.0,1788.0,510.0,3.8421,<1H OCEAN,220700.0
-121.6,39.79,13.0,2672.0,561.0,1151.0,532.0,2.1179,INLAND,102900.0
-122.27,41.2,52.0,4513.0,985.0,1926.0,815.0,1.5923,NEAR OCEAN,56000.0
-118.3,33.91,28.0,1617.0,2812.0,1530.0,500.0,2.6182,NEAR OCEAN,172600.0
-121.58,39.16,29.0,2407.0,197.0,537.0,204.0,3.3611,INLAND,79800.0
-122.15,37.73,4.0,2508.0,519.0,830.0,573.0,2.4919,<1H OCEAN,141700.0
-119.31,36.62,20.0,4231.0,637.0,947.0,244.0,3.9536,INLAND,51700.0
-121.82,36.61,24.0,2437.0,438.0,1430.0,444.0,3.8015,INLAND,169100.0
-118.08,34.12,27.0,5780.0,341.0,757.0,317.0,4.2434,<1H OCEAN,270500.0
-119.77,36.85,13.0,1519.0,234.0,711.0,248.0,4.245,INLAND,123600.0
-122.04,37.34,5.0,2590.0,57.0,1795.0,680.0,5.2595,<1H OCEAN,225000.0
-117.28,33.94,38.0,972.0,1175.0,773.0,219.0,2.551,INLAND,135700.0
-117.89,33.68,26.0,2905.0,504.0,1452.0,491.0,5.0853,INLAND,260300.0
-118.27,33.79,39.0,1417.0,359.0,1450.0,367.0,2.8462,<1H OCEAN,172000.0
-122.32,40.58,2.0,1937.0,1789.0,756.0,274.0,6.3236,INLAND,114200.0
-118.46,34.01,39.0,2191.0,148.0,347.0,153.0,2.7377,<1H OCEAN,297200.0
-118.11,33.87,33.0,1379.0,254.0,795.0,297.0,4.1154,<1H OCEAN,231800.0
-120.44,34.91,3.0,7976.0,716.0,1200.0,442.0,2.2179,<1H OCEAN,226800.0
-122.29,37.81,26.0,768.0,1432.0,392.0,127.0,1.6236,<1H OCEAN,82500.0
-118.11,33.88,26.0,3203.0,1064.0,1761.0,667.0,2.1304,<1H OCEAN,239700.0
